独白		%首先先自我介绍一下。我，姓“路”，名“人甲”是个普通的学生，就读于普通二本蓝鲸大学作业工程专业。
独白		%第一，请不要吐槽我的名字，据说吐槽我名字的人存在感都消失了；第二，请不要吐槽我的专业，吐槽我专业的人都挂科了-_-#
独白		%这个坑爹的故事要从一个夜黑风高的晚上说起（第三，请不要吐槽这幅图的画风(>^ω^<) ）
独白		%怎么可能不吐槽啊喂！
独白		%当时，我刚打完一局撸啊撸，沉浸在在不利形势下逆袭的快感中
独白		%忽然......
???			%少年哟，我是外星人
路人甲  	%那种奇怪的语气是啥，突然说自己是外星人是要闹哪样？而且你到底是谁啊！
???			%我需要你去拯救这个世界！
路人甲		%啊哈？我连你人都看不见还拯救世界？飞机头大叔是不是你又故意把手机塞在我桌子里面吓我，上次被你吓了一大跳，你以为这次还会有用吗？
???			%阿拉，不好意思，看来我忘记开隐身对你可见了，稍等。
路人甲		%你以为你是企鹅啊，还能在线对其隐身，隐身对其可见！
路人甲		%哇靠，还真的出现了！你真的真的是外星人？
迷の外星人	%是的，有恶魔想要毁灭地球，而我这趟来地球是为了寻找拯救地球之人，现在地球的命运掌握在你的手中了，你肩负着打败恶魔的重任。
独白		%然后......
独白		%那个外星人居然......把手无缚鸡之力的我......
独白		%之后,我便遍踏上了这趟坑爹的旅程......
